Fit ID	189	412	2137	2177	2162	2041	376	2132	884	609	667	747	757	816	236	915	750	608	2055	270	
c44	5.00e+04	8.89e+04	5.00e+04	5.00e+04	5.00e+04	5.00e+04	5.00e+04	8.89e+04	5.00e+04	5.00e+04	8.89e+04	8.89e+04	5.00e+04	5.00e+04	5.00e+04	8.89e+04	7.06e+04	8.89e+04	5.00e+04	5.00e+04	
c444	7.00e+05	7.00e+05	1.24e+05	3.94e+05	3.94e+05	3.94e+05	7.00e+05	3.94e+05	7.00e+05	7.00e+05	5.56e+05	7.00e+05	3.94e+05	7.00e+05	7.00e+05	7.00e+05	7.00e+05	7.00e+05	3.94e+05	7.00e+05	
c461	1.76e+04	2.79e+04	1.40e+04	1.76e+03	7.00e+04	2.21e+03	5.56e+04	2.21e+02	1.11e+05	5.56e+04	7.00e+04	1.24e+05	1.24e+05	5.56e+04	3.94e+04	3.94e+04	3.94e+04	7.00e+04	2.21e+04	7.00e+04	
c463	2.51e+04	2.82e+04	1.78e+05	1.58e+03	1.12e+03	1.00e+06	1.78e+03	5.62e+03	1.12e+05	3.98e+04	2.82e+05	2.51e+03	6.31e+04	7.08e+04	2.82e+04	5.01e+05	5.01e+03	3.98e+04	1.78e+05	1.12e+04	
c47	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	
c53	7.00e+04	7.00e+04	3.94e+04	7.00e+04	7.00e+04	1.24e+05	7.00e+04	7.00e+04	3.94e+04	7.00e+04	7.00e+04	7.00e+04	1.24e+05	1.24e+05	7.00e+04	7.00e+04	7.00e+04	4.42e+04	7.00e+04	7.00e+04	
c531	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	
c55	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	
c60	3.00e+04	2.12e+04	5.33e+04	1.89e+04	5.33e+04	1.69e+04	5.33e+04	1.69e+04	3.00e+04	3.00e+04	3.00e+04	1.69e+04	3.00e+04	3.00e+04	3.00e+04	3.00e+04	3.00e+04	4.75e+04	5.33e+04	1.69e+04	
k1	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k100	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	1.00e+00	
